condition,model,cohort,n,events,c_index,selected_features
original_radiomics,radiomics,LUNG1_all,397,353,0.5932959220873912,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy;base__wavelethllfirstorderenergy;base__wavelethhlfirstordertotalenergy;base__wavelethhhfirstordertotalenergy;base__wavelethllfirstordertotalenergy;base__waveletlllngtdmbusyness
original_radiomics,age_sex,LUNG1_all,397,353,0.5981719702098849,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy;base__wavelethllfirstorderenergy;base__wavelethhlfirstordertotalenergy;base__wavelethhhfirstordertotalenergy;base__wavelethllfirstordertotalenergy;base__waveletlllngtdmbusyness
original_radiomics,radiomics,LUNG2_validation,113,44,0.5652430044182621,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy;base__wavelethllfirstorderenergy;base__wavelethhlfirstordertotalenergy;base__wavelethhhfirstordertotalenergy;base__wavelethllfirstordertotalenergy;base__waveletlllngtdmbusyness
original_radiomics,age_sex,LUNG2_validation,113,44,0.5820324005891017,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy;base__wavelethllfirstorderenergy;base__wavelethhlfirstordertotalenergy;base__wavelethhhfirstordertotalenergy;base__wavelethllfirstordertotalenergy;base__waveletlllngtdmbusyness
inner_ring_physical2mm,radiomics,LUNG1_all,397,353,0.5854903390448414,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy
inner_ring_physical2mm,age_sex,LUNG1_all,397,353,0.5950992135826259,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy
inner_ring_physical2mm,radiomics,LUNG2_validation,113,44,0.6123711340206186,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy
inner_ring_physical2mm,age_sex,LUNG2_validation,113,44,0.6297496318114875,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy
inner_core_physical2mm,radiomics,LUNG1_all,397,353,0.6132102494661736,inner_core__wavelet-LHH_glcm_Correlation;inner_core__wavelet-LHL_firstorder_Skewness;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_firstorder_Median;inner_core__wavelet-LHL_glcm_MCC;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy
inner_core_physical2mm,age_sex,LUNG1_all,397,353,0.6186396541846779,inner_core__wavelet-LHH_glcm_Correlation;inner_core__wavelet-LHL_firstorder_Skewness;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_firstorder_Median;inner_core__wavelet-LHL_glcm_MCC;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy
