condition,rank,feature,elastic_net_coefficient
original_radiomics,1,base__originalngtdmbusyness,0.021785950818597473
original_radiomics,2,base__wavelethlhfirstorderenergy,0.01906329706949761
original_radiomics,3,base__wavelethlhfirstordertotalenergy,0.016799772350646773
original_radiomics,4,base__wavelethhlfirstorderenergy,0.011658253049338478
original_radiomics,5,base__wavelethhhfirstorderenergy,0.010463242738246564
original_radiomics,6,base__wavelethllfirstorderenergy,0.009993247232792388
original_radiomics,7,base__wavelethhlfirstordertotalenergy,0.009744683978333188
original_radiomics,8,base__wavelethhhfirstordertotalenergy,0.008532063031505227
original_radiomics,9,base__wavelethllfirstordertotalenergy,0.00812096906632308
original_radiomics,10,base__waveletlllngtdmbusyness,0.007911001401282314
original_radiomics,11,base__waveletlhlglcmmcc,0.007878123892552978
original_radiomics,12,base__waveletllhglcmclustershade,-0.007802480678664251
original_radiomics,13,base__wavelethlhngtdmcontrast,-0.006781088377736834
original_radiomics,14,base__waveletlhlfirstorderskewness,-0.005795116450914005
original_radiomics,15,base__waveletllhgldmgraylevelvariance,-0.005247689484447992
original_radiomics,16,base__waveletlhhglcmidmn,0.0051698256239401325
original_radiomics,17,base__waveletlhhfirstorderenergy,0.003993327160775954
original_radiomics,18,base__waveletllhglrlmgraylevelvariance,-0.0035399091870397443
original_radiomics,19,base__waveletllhglcmcontrast,-0.0034005443196046723
original_radiomics,20,base__waveletlhhgldmlargedependenceemphasis,0.0033615050823691765
inner_ring_physical2mm,1,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.013225114456129953
inner_ring_physical2mm,2,inner_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.01096248409090434
inner_ring_physical2mm,3,inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.009745713790390648
inner_ring_physical2mm,4,inner_ring__wavelet-HLH_firstorder_Energy,0.00949006726560807
inner_ring_physical2mm,5,inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity,0.009315347395494594
inner_ring_physical2mm,6,inner_ring__wavelet-HLL_gldm_DependenceNonUniformity,0.009189550957210321
inner_ring_physical2mm,7,inner_ring__wavelet-HHH_firstorder_Energy,0.008270373719308078
inner_ring_physical2mm,8,inner_ring__wavelet-HHH_gldm_DependenceNonUniformity,0.007126803655538601
inner_ring_physical2mm,9,inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity,0.006796542564569148
inner_ring_physical2mm,10,inner_ring__wavelet-HLH_firstorder_TotalEnergy,0.006790532609095075
inner_ring_physical2mm,11,inner_ring__wavelet-HHH_glcm_Idn,0.0065882233020221085
inner_ring_physical2mm,12,inner_ring__wavelet-HLH_firstorder_Maximum,0.006450618156448586
inner_ring_physical2mm,13,inner_ring__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,-0.006398624259945663
inner_ring_physical2mm,14,inner_ring__wavelet-HHH_firstorder_TotalEnergy,0.006387952398419104
inner_ring_physical2mm,15,inner_ring__wavelet-HLH_glcm_Idn,0.005573483803043036
inner_ring_physical2mm,16,inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity,0.005074255909838982
inner_ring_physical2mm,17,inner_ring__original_shape_Maximum2DDiameterSlice,0.005074050234927968
inner_ring_physical2mm,18,inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity,0.004541806961163859
inner_ring_physical2mm,19,inner_ring__wavelet-HLH_glcm_Idmn,0.004470816323166126
inner_ring_physical2mm,20,inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity,0.0036027791651441084
inner_core_physical2mm,1,inner_core__wavelet-LHH_glcm_Correlation,-0.056909733435198284
inner_core_physical2mm,2,inner_core__wavelet-LHL_firstorder_Skewness,-0.051615172228025794
inner_core_physical2mm,3,inner_core__wavelet-HHH_glcm_MCC,0.03825218022601962
inner_core_physical2mm,4,inner_core__wavelet-HLH_firstorder_Energy,0.02762676331088729
inner_core_physical2mm,5,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity,0.02696376076877834
inner_core_physical2mm,6,inner_core__wavelet-LHH_firstorder_Median,-0.025297086994108795
