condition,model,cohort,n,events,c_index,selected_features
original_radiomics,radiomics,LUNG1_all,397,353,0.594324514348211,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy
original_radiomics,age_sex,LUNG1_all,397,353,0.5985104942450914,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy
original_radiomics,radiomics,LUNG2_validation,113,44,0.5737849779086892,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy
original_radiomics,age_sex,LUNG2_validation,113,44,0.5905743740795287,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy
inner_ring_physical2mm,radiomics,LUNG1_all,397,353,0.5829514087807927,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity
inner_ring_physical2mm,age_sex,LUNG1_all,397,353,0.5935758554241967,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity
inner_ring_physical2mm,radiomics,LUNG2_validation,113,44,0.6047128129602356,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity
inner_ring_physical2mm,age_sex,LUNG2_validation,113,44,0.6303387334315169,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity
inner_core_physical2mm,radiomics,LUNG1_all,397,353,0.6122467579813551,inner_core__wavelet-LHH_glcm_Correlation;inner_core__wavelet-LHL_firstorder_Skewness;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity
inner_core_physical2mm,age_sex,LUNG1_all,397,353,0.6174287797510546,inner_core__wavelet-LHH_glcm_Correlation;inner_core__wavelet-LHL_firstorder_Skewness;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity
